id;text;correct_answer;choice_2;choice_3;choice_4
20213;"Comment dit-on ""au milieu, il y a sept serpents"" en anglais ?";In the middle, there are 7 snakes;In the middle, there are 7 dogs;In the middle, there are 7 cows;In the middle, there are 7 bears
20214;"Comment dit-on ""en bas, il y a six cochons"" en anglais ?";At the bottom, there are 6 pigs;At the bottom, there are 6 cows;At the bottom, there are 6 cats;At the bottom, there are 6 horses
20215;"Comment dit-on ""à gauche, il y a six chats"" en anglais ?";On the left, there are 6 cats;On the left, there are 6 cows;On the left, there are 6 dogs;On the left, there are 6 pigs
20216;"Comment dit-on ""à droite, il y a quatre chats"" en anglais ?";On the right, there are 4 cats;On the right, there are 4 horses;On the right, there are 4 monkeys;On the right, there are 4 ducks
20217;"Comment dit-on ""il y a cinq canards"" en anglais ?";There are 5 ducks;There are 5 tigers;There are 5 monkeys;There are 5 birds
20218;"Comment dit-on ""il y a quatre moutons"" en anglais ?";There are 4 sheep;There are 4 dogs;There are 4 mice;There are 4 frogs
20219;"Comment dit-on ""au milieu, il y a sept poissons"" en anglais ?";In the middle, there are 7 fish;In the middle, there are 7 frogs;In the middle, there are 7 cats;In the middle, there are 7 ducks
20220;"Comment dit-on ""il y a quatre tigres"" en anglais ?";There are 4 tigers;There are 4 cats;There are 4 elephants;There are 4 lions
20221;"Comment dit-on ""voiture"" en anglais ?";car;on foot;plane;bus
20222;"Que veut dire ""car"" en français ?";voiture;bateau;train;bus
20223;"Comment dit-on ""bus"" en anglais ?";bus;scooter;boat;on foot
20224;"Que veut dire ""bus"" en français ?";bus;bateau;vélo;train
20225;"Comment dit-on ""train"" en anglais ?";train;bus;plane;scooter
20226;"Que veut dire ""train"" en français ?";train;bateau;voiture;bus
20227;"Comment dit-on ""avion"" en anglais ?";plane;train;scooter;bike
20228;"Que veut dire ""plane"" en français ?";avion;bateau;train;vélo
20229;"Comment dit-on ""bateau"" en anglais ?";boat;plane;car;bike
20230;"Que veut dire ""boat"" en français ?";bateau;à pied;bus;vélo
20231;"Comment dit-on ""vélo"" en anglais ?";bike;on foot;plane;train
20232;"Que veut dire ""bike"" en français ?";vélo;voiture;trottinette;bateau
20233;"Comment dit-on ""trottinette"" en anglais ?";scooter;plane;car;train
20234;"Que veut dire ""scooter"" en français ?";trottinette;à pied;bus;bateau
20235;"Comment dit-on ""à pied"" en anglais ?";on foot;plane;bike;car
20236;"Que veut dire ""on foot"" en français ?";à pied;vélo;train;voiture
20237;"Comment dit-on ""professeur"" en anglais ?";teacher;cook;doctor;firefighter
20238;"Que veut dire ""teacher"" en français ?";professeur;pompier;docteur;dentiste
20239;"Comment dit-on ""docteur"" en anglais ?";doctor;firefighter;teacher;cook
20240;"Que veut dire ""doctor"" en français ?";docteur;policier;cuisinier;boulanger
20241;"Comment dit-on ""pompier"" en anglais ?";firefighter;teacher;vet;police officer
20242;"Que veut dire ""firefighter"" en français ?";pompier;professeur;infirmier;fermier
20243;"Comment dit-on ""policier"" en anglais ?";police officer;teacher;nurse;baker
20244;"Que veut dire ""police officer"" en français ?";policier;professeur;cuisinier;docteur
20245;"Comment dit-on ""infirmier"" en anglais ?";nurse;doctor;baker;firefighter
20246;"Que veut dire ""nurse"" en français ?";infirmier;boulanger;policier;pompier
20247;"Comment dit-on ""fermier"" en anglais ?";farmer;dentist;firefighter;vet
20248;"Que veut dire ""farmer"" en français ?";fermier;docteur;boulanger;professeur
20249;"Comment dit-on ""dentiste"" en anglais ?";dentist;teacher;vet;doctor
20250;"Que veut dire ""dentist"" en français ?";dentiste;infirmier;fermier;policier
20251;"Comment dit-on ""vétérinaire"" en anglais ?";vet;farmer;baker;cook
20252;"Que veut dire ""vet"" en français ?";vétérinaire;cuisinier;infirmier;professeur
20253;"Comment dit-on ""boulanger"" en anglais ?";baker;vet;firefighter;cook
20254;"Que veut dire ""baker"" en français ?";boulanger;pompier;fermier;docteur
20255;"Comment dit-on ""cuisinier"" en anglais ?";cook;farmer;nurse;baker
20256;"Que veut dire ""cook"" en français ?";cuisinier;professeur;policier;boulanger
20257;"Comment dit-on ""faire du vélo"" en anglais ?";cycling;basketball;football;singing
20258;"Que veut dire ""cycling"" en français ?";faire du vélo;course;lecture;tennis
20259;"Comment dit-on ""à droite, il y a quatre lapins"" en anglais ?";On the right, there are 4 rabbits;On the right, there are 4 dogs;On the right, there are 4 cows;On the right, there are 4 elephants
20260;"Comment dit-on ""il y a cinq serpents"" en anglais ?";There are 5 snakes;There are 5 frogs;There are 5 cows;There are 5 fish
20261;"Comment dit-on ""en haut, il y a quatre vaches"" en anglais ?";At the top, there are 4 cows;At the top, there are 4 dogs;At the top, there are 4 fish;At the top, there are 4 snakes
20262;"Comment dit-on ""à gauche, il y a six cochons"" en anglais ?";On the left, there are 6 pigs;On the left, there are 6 tigers;On the left, there are 6 mice;On the left, there are 6 frogs
20263;"Comment dit-on ""au milieu, il y a six canards"" en anglais ?";In the middle, there are 6 ducks;In the middle, there are 6 bears;In the middle, there are 6 frogs;In the middle, there are 6 sheep
20264;"Comment dit-on ""à droite, il y a quatre vaches"" en anglais ?";On the right, there are 4 cows;On the right, there are 4 snakes;On the right, there are 4 pigs;On the right, there are 4 dogs
20265;"Comment dit-on ""au milieu, il y a quatre chevaux"" en anglais ?";In the middle, there are 4 horses;In the middle, there are 4 lions;In the middle, there are 4 rabbits;In the middle, there are 4 tigers
20266;"Comment dit-on ""en haut, il y a sept grenouilles"" en anglais ?";At the top, there are 7 frogs;At the top, there are 7 snakes;At the top, there are 7 ducks;At the top, there are 7 bears
20267;"Comment dit-on ""tennis"" en anglais ?";tennis;reading;drawing;swimming
20268;"Que veut dire ""tennis"" en français ?";tennis;faire du vélo;basket;course
20269;"Comment dit-on ""basket"" en anglais ?";basketball;singing;swimming;running
20270;"Que veut dire ""basketball"" en français ?";basket;natation;dessin;faire du vélo
20271;"Comment dit-on ""au milieu, il y a six cochons"" en anglais ?";In the middle, there are 6 pigs;In the middle, there are 6 lions;In the middle, there are 6 dogs;In the middle, there are 6 monkeys
20272;"Comment dit-on ""à gauche, il y a sept chevaux"" en anglais ?";On the left, there are 7 horses;On the left, there are 7 pigs;On the left, there are 7 bears;On the left, there are 7 mice
20273;"Comment dit-on ""en haut, il y a cinq lapins"" en anglais ?";At the top, there are 5 rabbits;At the top, there are 5 dogs;At the top, there are 5 tigers;At the top, there are 5 bears
20274;"Comment dit-on ""en bas, il y a quatre lions"" en anglais ?";At the bottom, there are 4 lions;At the bottom, there are 4 sheep;At the bottom, there are 4 rabbits;At the bottom, there are 4 tigers
20275;"Comment dit-on ""il y a six éléphants"" en anglais ?";There are 6 elephants;There are 6 mice;There are 6 lions;There are 6 dogs
20276;"Comment dit-on ""à droite, il y a sept vaches"" en anglais ?";On the right, there are 7 cows;On the right, there are 7 fish;On the right, there are 7 horses;On the right, there are 7 frogs
20277;"Comment dit-on ""en bas, il y a quatre ours"" en anglais ?";At the bottom, there are 4 bears;At the bottom, there are 4 pigs;At the bottom, there are 4 ducks;At the bottom, there are 4 horses
20278;"Comment dit-on ""à droite, il y a cinq tigres"" en anglais ?";On the right, there are 5 tigers;On the right, there are 5 pigs;On the right, there are 5 bears;On the right, there are 5 monkeys
20279;"Comment dit-on ""il y a quatre cochons"" en anglais ?";There are 4 pigs;There are 4 rabbits;There are 4 horses;There are 4 elephants
20280;"Comment dit-on ""en bas, il y a quatre chiens"" en anglais ?";At the bottom, there are 4 dogs;At the bottom, there are 4 birds;At the bottom, there are 4 frogs;At the bottom, there are 4 cows
20281;"Comment dit-on ""il y a quatre chats"" en anglais ?";There are 4 cats;There are 4 frogs;There are 4 sheep;There are 4 bears
20282;"Comment dit-on ""à gauche, il y a cinq chiens"" en anglais ?";On the left, there are 5 dogs;On the left, there are 5 pigs;On the left, there are 5 cats;On the left, there are 5 ducks
20283;"Comment dit-on ""il y a un chien"" en anglais ?";There is a dog;There is a rabbit;There is a sheep;There is a cat
20284;"Comment dit-on ""il y a un chat"" en anglais ?";There is a cat;There is a bear;There is a dog;There is a monkey
20285;"Comment dit-on ""il y a une souris"" en anglais ?";There is a mouse;There is a duck;There is a snake;There is a dog
20286;"Comment dit-on ""il y a un lapin"" en anglais ?";There is a rabbit;There is an elephant;There is a bear;There is a horse
20287;"Comment dit-on ""il y a un oiseau"" en anglais ?";There is a bird;There is an elephant;There is a bear;There is a fish
20288;"Comment dit-on ""il y a une vache"" en anglais ?";There is a cow;There is a lion;There is a snake;There is a frog
20289;"Comment dit-on ""il y a un cochon"" en anglais ?";There is a pig;There is a bear;There is an elephant;There is a dog
20290;"Comment dit-on ""il y a un cheval"" en anglais ?";There is a horse;There is an elephant;There is a cat;There is a bear
20291;"Comment dit-on ""il y a un mouton"" en anglais ?";There is a sheep;There is a lion;There is a monkey;There is a frog
20292;"Comment dit-on ""il y a un poisson"" en anglais ?";There is a fish;There is a tiger;There is an elephant;There is a pig
20293;"Comment dit-on ""il y a un canard"" en anglais ?";There is a duck;There is an elephant;There is a bear;There is a rabbit
20294;"Comment dit-on ""il y a une grenouille"" en anglais ?";There is a frog;There is an elephant;There is a cow;There is a lion
20295;"Comment dit-on ""il y a un serpent"" en anglais ?";There is a snake;There is a tiger;There is a rabbit;There is an elephant
20296;"Comment dit-on ""il y a un lion"" en anglais ?";There is a lion;There is a pig;There is a bird;There is a mouse
20297;"Comment dit-on ""il y a un éléphant"" en anglais ?";There is an elephant;There is a bird;There is a monkey;There is a snake
20298;"Comment dit-on ""il y a un singe"" en anglais ?";There is a monkey;There is a mouse;There is a tiger;There is a dog
20299;"Comment dit-on ""il y a un tigre"" en anglais ?";There is a tiger;There is a bear;There is a sheep;There is a fish
20300;"Comment dit-on ""il y a un ours"" en anglais ?";There is a bear;There is a monkey;There is a snake;There is a tiger
20301;"Comment dit-on ""il y a deux chiens"" en anglais ?";There are 2 dogs;There are 2 cats;There are 2 snakes;There are 2 fish
20302;"Comment dit-on ""il y a deux chats"" en anglais ?";There are 2 cats;There are 2 horses;There are 2 rabbits;There are 2 frogs
20303;"Comment dit-on ""il y a deux souris"" en anglais ?";There are 2 mice;There are 2 cats;There are 2 pigs;There are 2 ducks
20304;"Comment dit-on ""il y a deux lapins"" en anglais ?";There are 2 rabbits;There are 2 snakes;There are 2 lions;There are 2 mice
20305;"Comment dit-on ""il y a deux oiseaux"" en anglais ?";There are 2 birds;There are 2 frogs;There are 2 pigs;There are 2 sheep
20306;"Comment dit-on ""il y a deux vaches"" en anglais ?";There are 2 cows;There are 2 snakes;There are 2 mice;There are 2 dogs
20307;"Comment dit-on ""il y a deux cochons"" en anglais ?";There are 2 pigs;There are 2 mice;There are 2 cows;There are 2 lions
20308;"Comment dit-on ""il y a deux chevaux"" en anglais ?";There are 2 horses;There are 2 ducks;There are 2 lions;There are 2 bears
20309;"Comment dit-on ""il y a deux moutons"" en anglais ?";There are 2 sheep;There are 2 lions;There are 2 ducks;There are 2 rabbits
20310;"Comment dit-on ""il y a deux poissons"" en anglais ?";There are 2 fish;There are 2 horses;There are 2 rabbits;There are 2 cows
20311;"Comment dit-on ""il y a deux canards"" en anglais ?";There are 2 ducks;There are 2 frogs;There are 2 lions;There are 2 pigs
20312;"Comment dit-on ""il y a deux grenouilles"" en anglais ?";There are 2 frogs;There are 2 snakes;There are 2 rabbits;There are 2 elephants
20313;"Comment dit-on ""il y a deux serpents"" en anglais ?";There are 2 snakes;There are 2 monkeys;There are 2 tigers;There are 2 elephants
20314;"Comment dit-on ""il y a deux lions"" en anglais ?";There are 2 lions;There are 2 birds;There are 2 monkeys;There are 2 sheep
20315;"Comment dit-on ""il y a deux éléphants"" en anglais ?";There are 2 elephants;There are 2 cows;There are 2 pigs;There are 2 sheep
20316;"Comment dit-on ""il y a deux singes"" en anglais ?";There are 2 monkeys;There are 2 bears;There are 2 ducks;There are 2 tigers
20317;"Comment dit-on ""il y a deux tigres"" en anglais ?";There are 2 tigers;There are 2 mice;There are 2 monkeys;There are 2 dogs
20318;"Comment dit-on ""il y a deux ours"" en anglais ?";There are 2 bears;There are 2 horses;There are 2 lions;There are 2 birds
20319;"Comment dit-on ""il y a trois chiens"" en anglais ?";There are 3 dogs;There are 3 mice;There are 3 monkeys;There are 3 frogs
20320;"Comment dit-on ""il y a trois chats"" en anglais ?";There are 3 cats;There are 3 bears;There are 3 horses;There are 3 pigs
20321;"Comment dit-on ""il y a trois souris"" en anglais ?";There are 3 mice;There are 3 monkeys;There are 3 frogs;There are 3 rabbits
20322;"Comment dit-on ""il y a trois lapins"" en anglais ?";There are 3 rabbits;There are 3 horses;There are 3 elephants;There are 3 pigs
20323;"Comment dit-on ""il y a trois oiseaux"" en anglais ?";There are 3 birds;There are 3 horses;There are 3 cows;There are 3 sheep
20324;"Comment dit-on ""il y a trois vaches"" en anglais ?";There are 3 cows;There are 3 lions;There are 3 cats;There are 3 birds
20325;"Comment dit-on ""il y a trois cochons"" en anglais ?";There are 3 pigs;There are 3 fish;There are 3 cows;There are 3 horses
20326;"Comment dit-on ""il y a trois chevaux"" en anglais ?";There are 3 horses;There are 3 elephants;There are 3 dogs;There are 3 cats
20327;"Comment dit-on ""il y a trois moutons"" en anglais ?";There are 3 sheep;There are 3 monkeys;There are 3 mice;There are 3 snakes
20328;"Comment dit-on ""il y a trois poissons"" en anglais ?";There are 3 fish;There are 3 frogs;There are 3 bears;There are 3 tigers
20329;"Comment dit-on ""il y a trois canards"" en anglais ?";There are 3 ducks;There are 3 bears;There are 3 dogs;There are 3 mice
20330;"Comment dit-on ""il y a trois grenouilles"" en anglais ?";There are 3 frogs;There are 3 horses;There are 3 sheep;There are 3 rabbits
20331;"Comment dit-on ""il y a trois serpents"" en anglais ?";There are 3 snakes;There are 3 cows;There are 3 mice;There are 3 lions
20332;"Comment dit-on ""il y a trois lions"" en anglais ?";There are 3 lions;There are 3 sheep;There are 3 horses;There are 3 bears
20333;"Comment dit-on ""il y a trois éléphants"" en anglais ?";There are 3 elephants;There are 3 lions;There are 3 cows;There are 3 tigers
20334;"Comment dit-on ""il y a trois singes"" en anglais ?";There are 3 monkeys;There are 3 dogs;There are 3 cats;There are 3 bears
20335;"Comment dit-on ""il y a trois tigres"" en anglais ?";There are 3 tigers;There are 3 pigs;There are 3 monkeys;There are 3 sheep
20336;"Comment dit-on ""il y a trois ours"" en anglais ?";There are 3 bears;There are 3 birds;There are 3 monkeys;There are 3 sheep
20337;"Comment dit-on ""je préfère les pommes"" en anglais ?";I prefer apple;I prefer fish dish;I prefer egg;I prefer tennis
20338;"Que veut dire ""I prefer apple"" en français ?";je préfère les pommes;je préfère le poisson;je préfère la course;je préfère le chant
20339;"Comment dit-on ""je préfère les bananes"" en anglais ?";I prefer banana;I prefer cake;I prefer apple;I prefer tennis
20340;"Que veut dire ""I prefer banana"" en français ?";je préfère les bananes;je préfère le poisson;je préfère les pommes;je préfère le basket
20341;"Comment dit-on ""je préfère le pain"" en anglais ?";I prefer bread;I prefer soup;I prefer egg;I prefer meat
20342;"Que veut dire ""I prefer bread"" en français ?";je préfère le pain;je préfère le lait;je préfère la lecture;je préfère le dessin
20343;"Comment dit-on ""je préfère le lait"" en anglais ?";I prefer milk;I prefer rice;I prefer apple;I prefer cheese
20344;"Que veut dire ""I prefer milk"" en français ?";je préfère le lait;je préfère la natation;je préfère la soupe;je préfère les pommes
20345;"Comment dit-on ""je préfère le fromage"" en anglais ?";I prefer cheese;I prefer reading;I prefer rice;I prefer egg
20346;"Que veut dire ""I prefer cheese"" en français ?";je préfère le fromage;je préfère la natation;je préfère la course;je préfère les pommes
20347;"Comment dit-on ""je préfère les oeufs"" en anglais ?";I prefer egg;I prefer dancing;I prefer drawing;I prefer cheese
20348;"Que veut dire ""I prefer egg"" en français ?";je préfère les oeufs;je préfère le poisson;je préfère la soupe;je préfère les gâteaux
20349;"Comment dit-on ""je préfère le chocolat"" en anglais ?";I prefer chocolate;I prefer cycling;I prefer singing;I prefer bread
20350;"Que veut dire ""I prefer chocolate"" en français ?";je préfère le chocolat;je préfère la lecture;je préfère l'eau;je préfère la course
20351;"Comment dit-on ""je préfère les gâteaux"" en anglais ?";I prefer cake;I prefer meat;I prefer dancing;I prefer egg
20352;"Que veut dire ""I prefer cake"" en français ?";je préfère les gâteaux;je préfère le football;je préfère le riz;je préfère les oeufs
20353;"Comment dit-on ""je préfère l'eau"" en anglais ?";I prefer water;I prefer cake;I prefer rice;I prefer apple
20354;"Que veut dire ""I prefer water"" en français ?";je préfère l'eau;je préfère la danse;je préfère les pommes;je préfère faire du vélo
20355;"Comment dit-on ""je préfère le riz"" en anglais ?";I prefer rice;I prefer singing;I prefer football;I prefer tennis
20356;"Que veut dire ""I prefer rice"" en français ?";je préfère le riz;je préfère le pain;je préfère le chant;je préfère la soupe
20357;"Comment dit-on ""je préfère la viande"" en anglais ?";I prefer meat;I prefer soup;I prefer singing;I prefer egg
20358;"Que veut dire ""I prefer meat"" en français ?";je préfère la viande;je préfère la course;je préfère le basket;je préfère le dessin
20359;"Comment dit-on ""je préfère la soupe"" en anglais ?";I prefer soup;I prefer football;I prefer rice;I prefer egg
20360;"Que veut dire ""I prefer soup"" en français ?";je préfère la soupe;je préfère le riz;je préfère la danse;je préfère le lait
20361;"Comment dit-on ""je préfère le poisson"" en anglais ?";I prefer fish;I prefer meat;I prefer tennis;I prefer apple
20362;"Que veut dire ""I prefer fish"" en français ?";je préfère le poisson;je préfère le tennis;je préfère le pain;je préfère le chocolat
20363;"Comment dit-on ""je préfère le football"" en anglais ?";I prefer football;I prefer egg;I prefer soup;I prefer apple
20364;"Que veut dire ""I prefer football"" en français ?";je préfère le football;je préfère le chant;je préfère le dessin;je préfère la natation
20365;"Comment dit-on ""je préfère la natation"" en anglais ?";I prefer swimming;I prefer running;I prefer cheese;I prefer apple
20366;"Que veut dire ""I prefer swimming"" en français ?";je préfère la natation;je préfère le chocolat;je préfère faire du vélo;je préfère le lait
20367;"Comment dit-on ""je préfère faire du vélo"" en anglais ?";I prefer cycling;I prefer bread;I prefer reading;I prefer singing
20368;"Que veut dire ""I prefer cycling"" en français ?";je préfère faire du vélo;je préfère la danse;je préfère le riz;je préfère le tennis
20369;"Comment dit-on ""je préfère la danse"" en anglais ?";I prefer dancing;I prefer bread;I prefer egg;I prefer running
20370;"Que veut dire ""I prefer dancing"" en français ?";je préfère la danse;je préfère la viande;je préfère le chant;je préfère les bananes
20371;"Comment dit-on ""je préfère le dessin"" en anglais ?";I prefer drawing;I prefer reading;I prefer running;I prefer apple
20372;"Que veut dire ""I prefer drawing"" en français ?";je préfère le dessin;je préfère les gâteaux;je préfère la natation;je préfère le pain
20373;"Comment dit-on ""je préfère la lecture"" en anglais ?";I prefer reading;I prefer basketball;I prefer cheese;I prefer cake
20374;"Que veut dire ""I prefer reading"" en français ?";je préfère la lecture;je préfère les oeufs;je préfère le chant;je préfère l'eau
20375;"Comment dit-on ""je préfère le chant"" en anglais ?";I prefer singing;I prefer cycling;I prefer cheese;I prefer reading
20376;"Que veut dire ""I prefer singing"" en français ?";je préfère le chant;je préfère la soupe;je préfère le poisson;je préfère la course
20377;"Comment dit-on ""je préfère la course"" en anglais ?";I prefer running;I prefer soup;I prefer apple;I prefer milk
20378;"Que veut dire ""I prefer running"" en français ?";je préfère la course;je préfère le chant;je préfère l'eau;je préfère la natation
20379;"Comment dit-on ""je préfère le tennis"" en anglais ?";I prefer tennis;I prefer meat;I prefer drawing;I prefer banana
20380;"Que veut dire ""I prefer tennis"" en français ?";je préfère le tennis;je préfère la soupe;je préfère la danse;je préfère les oeufs
20381;"Comment dit-on ""je préfère le basket"" en anglais ?";I prefer basketball;I prefer dancing;I prefer water;I prefer milk
20382;"Que veut dire ""I prefer basketball"" en français ?";je préfère le basket;je préfère la course;je préfère le lait;je préfère le chocolat
20383;"Comment dit-on ""à gauche, il y a un chien"" en anglais ?";On the left, there is a dog;On the left, there is a tiger;On the left, there is a monkey;On the left, there is a bear
20384;"Comment dit-on ""à gauche, il y a un chat"" en anglais ?";On the left, there is a cat;On the left, there is an elephant;On the left, there is a duck;On the left, there is a mouse
20385;"Comment dit-on ""à gauche, il y a une souris"" en anglais ?";On the left, there is a mouse;On the left, there is a fish;On the left, there is a rabbit;On the left, there is a dog
20386;"Comment dit-on ""à gauche, il y a un lapin"" en anglais ?";On the left, there is a rabbit;On the left, there is a lion;On the left, there is a horse;On the left, there is a tiger
20387;"Comment dit-on ""à gauche, il y a un oiseau"" en anglais ?";On the left, there is a bird;On the left, there is a cat;On the left, there is a mouse;On the left, there is a pig
20388;"Comment dit-on ""à gauche, il y a une vache"" en anglais ?";On the left, there is a cow;On the left, there is a horse;On the left, there is a frog;On the left, there is a snake
20389;"Comment dit-on ""à gauche, il y a un cochon"" en anglais ?";On the left, there is a pig;On the left, there is a cat;On the left, there is a duck;On the left, there is a snake
20390;"Comment dit-on ""à gauche, il y a un cheval"" en anglais ?";On the left, there is a horse;On the left, there is a monkey;On the left, there is a cat;On the left, there is a dog
20391;"Comment dit-on ""à gauche, il y a un mouton"" en anglais ?";On the left, there is a sheep;On the left, there is a fish;On the left, there is a cow;On the left, there is a duck
20392;"Comment dit-on ""à gauche, il y a un poisson"" en anglais ?";On the left, there is a fish;On the left, there is a cat;On the left, there is a frog;On the left, there is a monkey
20393;"Comment dit-on ""à gauche, il y a un canard"" en anglais ?";On the left, there is a duck;On the left, there is a cat;On the left, there is a sheep;On the left, there is a dog
20394;"Comment dit-on ""à gauche, il y a une grenouille"" en anglais ?";On the left, there is a frog;On the left, there is a bear;On the left, there is a sheep;On the left, there is a bird
20395;"Comment dit-on ""à gauche, il y a un serpent"" en anglais ?";On the left, there is a snake;On the left, there is a duck;On the left, there is a cow;On the left, there is a pig
20396;"Comment dit-on ""à gauche, il y a un lion"" en anglais ?";On the left, there is a lion;On the left, there is a pig;On the left, there is a rabbit;On the left, there is a monkey
20397;"Comment dit-on ""à gauche, il y a un éléphant"" en anglais ?";On the left, there is an elephant;On the left, there is a rabbit;On the left, there is a dog;On the left, there is a cow
20398;"Comment dit-on ""à gauche, il y a un singe"" en anglais ?";On the left, there is a monkey;On the left, there is a tiger;On the left, there is a mouse;On the left, there is a lion
20399;"Comment dit-on ""à gauche, il y a un tigre"" en anglais ?";On the left, there is a tiger;On the left, there is a sheep;On the left, there is a snake;On the left, there is a dog
20400;"Comment dit-on ""à gauche, il y a un ours"" en anglais ?";On the left, there is a bear;On the left, there is an elephant;On the left, there is a lion;On the left, there is a mouse
20401;"Comment dit-on ""à droite, il y a un chien"" en anglais ?";On the right, there is a dog;On the right, there is a rabbit;On the right, there is a duck;On the right, there is a bear
20402;"Comment dit-on ""à droite, il y a un chat"" en anglais ?";On the right, there is a cat;On the right, there is a dog;On the right, there is a frog;On the right, there is a lion
20403;"Comment dit-on ""à droite, il y a une souris"" en anglais ?";On the right, there is a mouse;On the right, there is a monkey;On the right, there is a duck;On the right, there is a sheep
20404;"Comment dit-on ""à droite, il y a un lapin"" en anglais ?";On the right, there is a rabbit;On the right, there is a cat;On the right, there is a lion;On the right, there is an elephant
20405;"Comment dit-on ""à droite, il y a un oiseau"" en anglais ?";On the right, there is a bird;On the right, there is a rabbit;On the right, there is a mouse;On the right, there is a cat
20406;"Comment dit-on ""à droite, il y a une vache"" en anglais ?";On the right, there is a cow;On the right, there is an elephant;On the right, there is a lion;On the right, there is a fish
20407;"Comment dit-on ""à droite, il y a un cochon"" en anglais ?";On the right, there is a pig;On the right, there is a horse;On the right, there is a snake;On the right, there is a rabbit
20408;"Comment dit-on ""à droite, il y a un cheval"" en anglais ?";On the right, there is a horse;On the right, there is a rabbit;On the right, there is a sheep;On the right, there is a cow
20409;"Comment dit-on ""à droite, il y a un mouton"" en anglais ?";On the right, there is a sheep;On the right, there is a bear;On the right, there is a horse;On the right, there is a cat
20410;"Comment dit-on ""à droite, il y a un poisson"" en anglais ?";On the right, there is a fish;On the right, there is a monkey;On the right, there is a tiger;On the right, there is a rabbit
20411;"Comment dit-on ""à droite, il y a un canard"" en anglais ?";On the right, there is a duck;On the right, there is a bear;On the right, there is a pig;On the right, there is a fish
20412;"Comment dit-on ""à droite, il y a une grenouille"" en anglais ?";On the right, there is a frog;On the right, there is a monkey;On the right, there is a mouse;On the right, there is an elephant
20413;"Comment dit-on ""à droite, il y a un serpent"" en anglais ?";On the right, there is a snake;On the right, there is a fish;On the right, there is a duck;On the right, there is a bear
20414;"Comment dit-on ""à droite, il y a un lion"" en anglais ?";On the right, there is a lion;On the right, there is a cat;On the right, there is a dog;On the right, there is a monkey
20415;"Comment dit-on ""à droite, il y a un éléphant"" en anglais ?";On the right, there is an elephant;On the right, there is a sheep;On the right, there is a duck;On the right, there is a monkey
20416;"Comment dit-on ""à droite, il y a un singe"" en anglais ?";On the right, there is a monkey;On the right, there is a bear;On the right, there is a pig;On the right, there is a dog
20417;"Comment dit-on ""à droite, il y a un tigre"" en anglais ?";On the right, there is a tiger;On the right, there is a dog;On the right, there is a monkey;On the right, there is a horse
20418;"Comment dit-on ""à droite, il y a un ours"" en anglais ?";On the right, there is a bear;On the right, there is a fish;On the right, there is a frog;On the right, there is a pig
20419;"Comment dit-on ""il est une heure"" en anglais ?";It's 1 o'clock;It's 5 o'clock;It's 6 o'clock;It's 4 o'clock
20420;"Que veut dire ""It's 1 o'clock"" en français ?";il est une heure;il est onze heures;il est huit heures;il est trois heures
20421;"Comment dit-on ""il est deux heures"" en anglais ?";It's 2 o'clock;It's 3 o'clock;It's 11 o'clock;It's 12 o'clock
20422;"Que veut dire ""It's 2 o'clock"" en français ?";il est deux heures;il est cinq heures;il est huit heures;il est quatre heures
20423;"Comment dit-on ""il est trois heures"" en anglais ?";It's 3 o'clock;It's 10 o'clock;It's 4 o'clock;It's 1 o'clock
20424;"Que veut dire ""It's 3 o'clock"" en français ?";il est trois heures;il est quatre heures;il est neuf heures;il est dix heures
20425;"Comment dit-on ""il est quatre heures"" en anglais ?";It's 4 o'clock;It's 11 o'clock;It's 7 o'clock;It's 12 o'clock
20426;"Que veut dire ""It's 4 o'clock"" en français ?";il est quatre heures;il est deux heures;il est six heures;il est onze heures
20427;"Comment dit-on ""il est cinq heures"" en anglais ?";It's 5 o'clock;It's 12 o'clock;It's 7 o'clock;It's 4 o'clock
20428;"Que veut dire ""It's 5 o'clock"" en français ?";il est cinq heures;il est une heure;il est onze heures;il est six heures
20429;"Comment dit-on ""il est six heures"" en anglais ?";It's 6 o'clock;It's 2 o'clock;It's 1 o'clock;It's 11 o'clock
20430;"Que veut dire ""It's 6 o'clock"" en français ?";il est six heures;il est deux heures;il est douze heures;il est quatre heures
20431;"Comment dit-on ""il est sept heures"" en anglais ?";It's 7 o'clock;It's 4 o'clock;It's 3 o'clock;It's 12 o'clock
20432;"Que veut dire ""It's 7 o'clock"" en français ?";il est sept heures;il est trois heures;il est neuf heures;il est douze heures
20433;"Comment dit-on ""il est huit heures"" en anglais ?";It's 8 o'clock;It's 6 o'clock;It's 4 o'clock;It's 5 o'clock
20434;"Que veut dire ""It's 8 o'clock"" en français ?";il est huit heures;il est douze heures;il est cinq heures;il est deux heures
20435;"Comment dit-on ""il est neuf heures"" en anglais ?";It's 9 o'clock;It's 4 o'clock;It's 11 o'clock;It's 2 o'clock
20436;"Que veut dire ""It's 9 o'clock"" en français ?";il est neuf heures;il est deux heures;il est huit heures;il est cinq heures
20437;"Comment dit-on ""il est dix heures"" en anglais ?";It's 10 o'clock;It's 1 o'clock;It's 6 o'clock;It's 9 o'clock
20438;"Que veut dire ""It's 10 o'clock"" en français ?";il est dix heures;il est douze heures;il est neuf heures;il est six heures
20439;"Comment dit-on ""il est onze heures"" en anglais ?";It's 11 o'clock;It's 1 o'clock;It's 9 o'clock;It's 8 o'clock
